,STATE,Year of Data,Total Revenue from Federal Sources
990,5,15,216
991,5,15,191
992,5,15,561
993,5,15,20
994,5,15,66
995,5,15,220
996,5,15,831
997,5,15,306
998,5,15,282
999,5,15,30775
1000,5,15,21091
1001,5,15,4065
1002,5,15,10658
1003,5,15,18209
1004,5,15,5017
1005,5,15,10810
1006,5,15,1777
1007,5,15,5937
1008,5,15,8924
1009,5,15,650
1010,5,15,8392
1011,5,15,3468
1012,5,15,3908
1013,5,15,35925
1014,5,15,28010
1015,5,15,7444
1016,5,15,19352
1017,5,15,3654
1018,5,15,3627
1019,5,15,5850
1020,5,15,15498
1021,5,15,12012
1022,5,15,961
1023,5,15,6879
1024,5,15,26318
1025,5,15,3241
1026,5,15,47
1027,5,15,10474
1028,5,15,372
1029,5,15,192
1030,5,15,20292
1031,5,15,2931
1032,5,15,935
1033,5,15,13294
1034,5,15,5500
1035,5,15,7358
1036,5,15,8504
1037,5,15,4324
1038,5,15,110308
1039,5,15,1149733
1040,5,15,2093
1041,5,15,1874
1042,5,15,18852
1043,5,15,2319
1044,5,15,5759
1045,5,15,42221
1046,5,15,12161
1047,5,15,2781
1048,5,15,18640
1049,5,15,42506
1050,5,15,2664
1051,5,15,19520
1052,5,15,30762
1053,5,15,59374
1054,5,15,26458
1055,5,15,5711
1056,5,15,3222
1057,5,15,20400
1058,5,15,5208
1059,5,15,966
1060,5,15,8449
1061,5,15,9416
1062,5,15,937
1063,5,15,1788
1064,5,15,3353
1065,5,15,2420
1066,5,15,3272
1067,5,15,15366
1068,5,15,1158
1069,5,15,4657
1070,5,15,8295
1071,5,15,4488
1072,5,15,6718
1073,5,15,17827
1074,5,15,1873
1075,5,15,1211
1076,5,15,9018
1077,5,15,0
1078,5,15,0
1079,5,15,2602
1080,5,15,103
1081,5,15,7
1082,5,15,0
1083,5,15,0
1084,5,15,18
1085,5,15,115
1086,5,15,0
1087,5,15,5072
1088,5,15,16698
1089,5,15,8266
1090,5,15,390
1091,5,15,2284
1092,5,15,732
1093,5,15,23671
1094,5,15,571
1095,5,15,101
1096,5,15,1141
1097,5,15,779
1098,5,15,380
1099,5,15,643
1100,5,15,189
1101,5,15,33
1102,5,15,81
1103,5,15,553
1104,5,15,21
1105,5,15,1028
1106,5,15,22
1107,5,15,4607
1108,5,15,324
1109,5,15,86
1110,5,15,788
1111,5,15,3781
1112,5,15,1083
1113,5,15,579
1114,5,15,1335
1115,5,15,2217
1116,5,15,19
1117,5,15,1513
1118,5,15,1019
1119,5,15,1759
1120,5,15,55
1121,5,15,379
1122,5,15,1959
1123,5,15,6609
1124,5,15,2554
1125,5,15,627
1126,5,15,186
1127,5,15,299
1128,5,15,452
1129,5,15,5611
1130,5,15,392
1131,5,15,2939
1132,5,15,3230
1133,5,15,189
1134,5,15,1668
1135,5,15,2014
1136,5,15,484
1137,5,15,825
1138,5,15,3624
1139,5,15,8876
1140,5,15,426
1141,5,15,13006
1142,5,15,11463
1143,5,15,59
1144,5,15,1286
1145,5,15,138
1146,5,15,3578
1147,5,15,2518
1148,5,15,185
1149,5,15,242
1150,5,15,717
1151,5,15,1044
1152,5,15,893
1153,5,15,576
1154,5,15,12455
1155,5,15,80
1156,5,15,867
1157,5,15,364
1158,5,15,21
1159,5,15,3953
1160,5,15,2387
1161,5,15,1522
1162,5,15,36
1163,5,15,19
1164,5,15,11346
1165,5,15,5901
1166,5,15,48
1167,5,15,874
1168,5,15,10634
1169,5,15,13099
1170,5,15,339
1171,5,15,250
1172,5,15,223
1173,5,15,2877
1174,5,15,5587
1175,5,15,212
1176,5,15,178
1177,5,15,0
1178,5,15,2850
1179,5,15,690
1180,5,15,129
1181,5,15,14722
1182,5,15,40
1183,5,15,1317
1184,5,15,71
1185,5,15,74
1186,5,15,540
1187,5,15,2047
1188,5,15,388
1189,5,15,2008
1190,5,15,0
1191,5,15,0
1192,5,15,337
1193,5,15,562
1194,5,15,0
1195,5,15,226
1196,5,15,16474
1197,5,15,36163
