,State,Year,Data
645,New York,2011,51000
646,New York,2015,36000
647,New York,2010,58000
648,New York,2009,61000
649,New York,2018,30000
650,New York,2013,43000
651,New York,2008,62000
652,New York,2007,62000
653,New York,2006,63000
654,New York,2005,61000
655,New York,2004,78000
656,New York,2003,65000
657,New York,2002,73000
658,New York,2001,81000
659,New York,2000,82000
660,North Carolina,2000,59000
661,North Carolina,2001,53000
662,North Carolina,2002,39000
663,North Carolina,2003,44000
664,North Carolina,2004,34000
665,North Carolina,2005,37000
666,North Carolina,2006,36000
667,North Carolina,2007,40000
668,North Carolina,2008,41000
669,North Carolina,2013,27000
670,North Carolina,2018,25000
671,North Carolina,2009,39000
672,North Carolina,2010,37000
673,North Carolina,2015,25000
674,North Carolina,2011,29000
675,North Carolina,2012,29000
676,North Carolina,2014,22000
677,North Carolina,2016,22000
678,North Carolina,2017,26000
679,North Carolina,2019,24000
680,North Dakota,2019,2000
681,North Dakota,2017,2000
682,North Dakota,2016,2000
683,North Dakota,2014,2000
684,North Dakota,2012,1000
685,North Dakota,2011,2000
686,North Dakota,2015,2000
687,North Dakota,2010,1000
688,North Dakota,2009,2000
689,North Dakota,2018,1000
690,North Dakota,2013,2000
691,North Dakota,2008,3000
692,North Dakota,2007,1000
693,North Dakota,2006,1000
694,North Dakota,2005,1000
695,North Dakota,2004,1000
696,North Dakota,2003,1000
697,North Dakota,2002,1000
698,North Dakota,2001,2000
699,North Dakota,2000,1000
700,Ohio,2000,56000
701,Ohio,2001,48000
702,Ohio,2002,41000
703,Ohio,2003,39000
704,Ohio,2004,33000
705,Ohio,2005,37000
706,Ohio,2006,36000
707,Ohio,2007,34000
708,Ohio,2008,32000
709,Ohio,2013,24000
710,Ohio,2018,28000
711,Ohio,2009,33000
712,Ohio,2010,36000
713,Ohio,2015,24000
714,Ohio,2011,28000
715,Ohio,2012,25000
716,Ohio,2014,24000
717,Ohio,2016,27000
718,Ohio,2017,25000
719,Ohio,2019,27000
720,Oklahoma,2019,10000
721,Oklahoma,2017,12000
722,Oklahoma,2016,12000
723,Oklahoma,2014,12000
724,Oklahoma,2012,14000
725,Oklahoma,2011,13000
726,Oklahoma,2015,11000
727,Oklahoma,2010,16000
728,Oklahoma,2009,17000
729,Oklahoma,2018,11000
730,Oklahoma,2013,13000
731,Oklahoma,2008,18000
732,Oklahoma,2007,16000
733,Oklahoma,2006,16000
734,Oklahoma,2005,18000
735,Oklahoma,2004,11000
736,Oklahoma,2003,13000
737,Oklahoma,2002,19000
738,Oklahoma,2001,27000
739,Oklahoma,2000,29000
740,Oregon,2000,20000
741,Oregon,2001,14000
742,Oregon,2002,11000
743,Oregon,2003,14000
744,Oregon,2004,10000
745,Oregon,2005,12000
746,Oregon,2006,14000
747,Oregon,2007,14000
748,Oregon,2008,13000
749,Oregon,2013,9000
750,Oregon,2018,7000
751,Oregon,2009,12000
752,Oregon,2010,13000
753,Oregon,2015,8000
754,Oregon,2011,10000
755,Oregon,2012,8000
756,Oregon,2014,12000
757,Oregon,2016,10000
758,Oregon,2017,8000
759,Oregon,2019,8000
760,Pennsylvania,2019,27000
761,Pennsylvania,2017,29000
762,Pennsylvania,2016,26000
763,Pennsylvania,2014,27000
764,Pennsylvania,2012,31000
765,Pennsylvania,2011,30000
766,Pennsylvania,2015,28000
767,Pennsylvania,2010,33000
768,Pennsylvania,2009,37000
769,Pennsylvania,2018,32000
770,Pennsylvania,2013,27000
771,Pennsylvania,2008,37000
772,Pennsylvania,2007,41000
773,Pennsylvania,2006,42000
774,Pennsylvania,2005,39000
775,Pennsylvania,2004,32000
776,Pennsylvania,2003,44000
777,Pennsylvania,2002,53000
778,Pennsylvania,2001,47000
779,Pennsylvania,2000,44000
780,Rhode Island,2000,5000
781,Rhode Island,2001,4000
782,Rhode Island,2002,3000
783,Rhode Island,2003,3000
784,Rhode Island,2004,4000
785,Rhode Island,2005,4000
786,Rhode Island,2006,5000
787,Rhode Island,2007,4000
788,Rhode Island,2008,4000
789,Rhode Island,2013,2000
790,Rhode Island,2018,1000
791,Rhode Island,2009,4000
