,State,Year,Total Federal Revenue,Total State Revenue,Employed per 1k,% Employed,Teacher Pay,Pop. Below Poverty Level,Percent of Pop. Below Poverty Level,Grdn Bachelor Degree+,Grdn HS Diploma or GED,Grdn No HS Diploma,Grdn Some College,Student/Teacher Ratio,Teen Preg. Rate (State),Dropouts,Food Insecurity Rate,Child food insecurity rate
95,Georgia,2014,232593.0,1319582.0,113.0,22.0,53382.0,645855.0,26.3,2278.0,2092.0,1270.0,2064.0,15.65,28.4,28000.0,0.17939622641509428,0.2843522012578615
96,Georgia,2015,232449.0,1381205.0,109.0,21.5,54190.0,603354.0,24.5,2073.0,2298.0,1343.0,2171.0,15.55,25.6,29000.0,0.16993081761006296,0.25708176100628927
97,Georgia,2016,240322.0,1454830.0,134.0,25.6,54602.0,566005.0,22.9,2210.0,2273.0,1429.0,2128.0,15.37,23.6,30000.0,0.16447798742138361,0.24039622641509428
98,Georgia,2017,235740.0,1557977.0,132.0,24.4,56329.0,519099.0,21.0,2420.0,2420.0,1320.0,2008.0,15.24,21.9,28000.0,0.15710691823899373,0.22793081761006262
100,Hawaii,2010,1477561.0,7342841.0,15.0,21.6,55063.0,41230.0,13.9,259.0,314.0,138.0,294.0,15.76,32.5,3000.0,0.1366,0.21175
101,Hawaii,2011,1024389.0,7340384.0,15.0,21.5,54268.0,50834.0,17.0,291.0,322.0,138.0,311.0,15.95,30.0,3000.0,0.1514,0.18059999999999998
102,Hawaii,2012,1096902.0,7462594.0,14.0,17.6,54300.0,51233.0,17.1,279.0,357.0,156.0,295.0,15.92,28.1,3000.0,0.1504,0.2378
103,Hawaii,2013,980013.0,7503451.0,16.0,21.1,56291.0,40288.0,13.3,297.0,346.0,128.0,330.0,15.86,25.1,2000.0,0.15000000000000002,0.23074999999999998
104,Hawaii,2014,933891.0,7632238.0,18.0,25.2,57189.0,44363.0,14.7,311.0,345.0,127.0,326.0,15.64,23.1,3000.0,0.1488,0.23120000000000002
105,Hawaii,2015,929878.0,7676341.0,21.0,27.3,57431.0,43438.0,14.2,298.0,343.0,131.0,328.0,15.49,20.6,2000.0,0.1394,0.2104
