,State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
88,MARYLAND,866169,58611.02,14.78
89,MASSACHUSETTS,955739,70489.56,13.56
90,MICHIGAN,1548841,85786.16,18.05
91,MINNESOTA,850973,54412.59,15.64
92,MISSISSIPPI,492586,32292.27,15.25
93,MISSOURI,918288,66651.04,13.78
94,MONTANA,144129,10310.32,13.98
95,NEBRASKA,307677,22401.06,13.73
96,NEVADA,451831,21920.59,20.61
97,NEW HAMPSHIRE,186310,14826.1,12.57
98,NEW JERSEY,1370295,114581.2,11.96
99,NEW MEXICO,339244,22238.71,15.25
100,NEW YORK,2732770,206692.51,13.22
101,NORTH CAROLINA,1530857,99326.62,15.41
102,NORTH DAKOTA,103947,8805.41,11.8
103,NORTHERN MARIANAS,10638,417,25.51
104,OHIO,1724111,106010.29,16.26
105,OKLAHOMA,681848,41982.6,16.24
106,OREGON,593000,26733.39,22.18
107,PENNSYLVANIA,1755236,121329.77,14.47
108,PUERTO RICO,423934,33412,12.69
109,RHODE ISLAND,142008,9824.05,14.46
110,SOUTH CAROLINA,745657,48151.2,15.49
111,SOUTH DAKOTA,130890,9509.63,13.76
112,TENNESSEE,993556,65847.2,15.09
113,TEXAS,5153702,334580.15,15.4
114,U.S. VIRGIN ISLANDS,14953,1082,13.82
115,UTAH,625461,27246.92,22.96
116,VERMONT,88690,8375.35,10.59
117,VIRGINIA,1273825,90097.56,14.14
118,WASHINGTON,1058936,54866.76,19.3
119,WEST VIRGINIA,280958,19978.02,14.06
120,WISCONSIN,874414,57980.2,15.08
121,WYOMING,92732,7555.19,12.27
122,ALABAMA,744621,47722.67,15.6
123,ALASKA,131167,8087.87,16.22
124,AMERICAN SAMOA,–,–,–
125,ARIZONA,1080319,50800.15,21.27
126,ARKANSAS,483114,33982.96,14.22
127,BUREAU OF INDIAN EDUCATION,–,–,–
128,CALIFORNIA,6287834,268688.93,23.4
129,COLORADO,854265,48077.76,17.77
130,CONNECTICUT,554437,43804.81,12.66
131,DELAWARE,128946,8587.21,15.02
132,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–
133,DISTRICT OF COLUMBIA,73911,6278.06,11.77
134,FLORIDA,2668156,175006.3,15.25
135,GEORGIA,1685016,111133.3,15.16
136,GUAM,31243,2291,13.64
137,HAWAII,182706,11458.37,15.95
138,IDAHO,279873,15990.44,17.5
139,ILLINOIS,2083097,131777.31,15.81
140,INDIANA,1040765,62338.58,16.7
141,IOWA,495870,34658.15,14.31
142,KANSAS,486108,37407.3,13
143,KENTUCKY,681987,41859.68,16.29
144,LOUISIANA,703390,48657.02,14.46
145,MAINE,188969,14888.04,12.69
146,MARYLAND,854086,57589.05,14.83
147,MASSACHUSETTS,953369,69342.38,13.75
148,MICHIGAN,1573537,86997.36,18.09
149,MINNESOTA,839738,52832.26,15.89
150,MISSISSIPPI,490619,32006.66,15.33
151,MISSOURI,916584,66251.53,13.83
152,MONTANA,142349,10152.67,14.02
153,NEBRASKA,301296,22181.95,13.58
